sentence,miti_code,augmented,source
そうなんですよね。[SEP]でもそれがなかなかいいと。[SEP]はい。気をつけてはいるんですが...,2,True,case7.csv
そうなんですよね。[SEP]でもそれがなかなかだと。[SEP]はい。気をつけてはいるんですが...,2,True,case7.csv
そうなんですよね。[SEP]でもそれがなかなか面白いと。[SEP]はい。気をつけてはいるんですが...,2,True,case7.csv
そうなんですよね。[SEP]でもそれがなかなか難しいと。[SEP]はい。気をつけてはいるんですが…,2,False,case7.csv
えぇ[SEP]やりたいということがあると最初におっしゃっていたのですが、やったらどんないいことがあると思いますか[SEP]出来てるかわからないけど、自分が成長してる気がするし。する。自分の成長も知れる。かな。,3,True,case2!.csv
えぇ[SEP]やりたいという事があると最初におっしゃっていたのですが、やったらどんないいものがあると思いますか[SEP]出来てるかわからないけど、自分が成長してる気がするし。する。自分の気持ちも知れる。かな。,3,True,case2!.csv
えぇ[SEP]やりたいという気持ちがあると最初におっしゃっていたのですが、やったらどんないいところがあると思いますか[SEP]出来てるかわからないけど、自分が成長してる気がするし。する。自分のことも知れる。かな。,3,True,case2!.csv
えぇ[SEP]やりたいという気持ちがあると最初におっしゃっていたのですが、やったらどんないいことがあると思いますか[SEP]出来てるかわからないけど、自分が成長してる気がするし。する。自分のことも知れる。かな。,3,False,case2!.csv
そうですね。ただ、そうですよね。[SEP]そうだね。でも、来られているときもあるよね。その時はどんな時かな?[SEP]うぅん...たまたま起きるとか、そんなに緊張していなくても起きられるんですよね。,3,True,case7.csv
そうですね。ただ、それですよね。[SEP]そうだね。でも、来られているときもあるよね。その時はどんなことかな?[SEP]うぅん...たまたま起きるとか、そんなに興奮していなくても起きられるんですよね。,3,True,case7.csv
そうですね。ただ、大変ですよね。[SEP]そうだね。でも、来られているときもあるよね。その時はどんなのかな?[SEP]うぅん...たまたま起きるとか、そんなに意識していなくても起きられるんですよね。,3,True,case7.csv
そうですね。ただ、難しいですよね。[SEP]そうだね。でも、来られているときもあるよね。その時はどんな感じかな？[SEP]うぅん．．．たまたま起きるとか、そんなに意識していなくても起きられるんですよね。,3,False,case7.csv
"薬は好きではありません。[SEP]OK,他の方と一緒に体験することができるサポートグループや勉強会もあります。時々,ただそのサポートを受けるだけで大きな恩恵を被る。特にストレスがストレス緩和になるような人にとってはそんな場所が役立つかもしれません。[SEP]それはよさそうですね,でも全てに参加する時間があるかどうか。",0,True,case4.csv
"薬は好きではありません。[SEP]OK,他の方と一緒に体験する事ができるサポートグループや勉強会もあります。時々,ただそのサポートを受けるだけで大きな恩恵を被る。特に自分が重緩和になるような人にとってはそんな場所が役立つかもしれません。[SEP]それはよさそうですね,でも全てに参加する時間があるかどうか。",0,True,case4.csv
"薬は好きではありません。[SEP]OK,他の方と一緒に体験する体験ができるサポートグループや勉強会もあります。時々,ただそのサポートを受けるだけで大きな恩恵を被る。特に薬が難緩和になるような人にとってはそんな場所が役立つかもしれません。[SEP]それはよさそうですね,でも全てに参加する時間があるかどうか。",0,True,case4.csv
薬は好きではありません。[SEP]OK，他の方と一緒に体験することができるサポートグループや勉強会もあります。時々，ただそのサポートを受けるだけで大きな恩恵を被る。特に喫煙がストレス緩和になるような人にとってはそんな場所が役立つかもしれません。[SEP]それはよさそうですね，でも全てに参加する時間があるかどうか。,0,False,case4.csv
思う。続けていきたいって思うけど、それでも使う意味がないからやらなくてもいいのかなとも思っちゃう。[SEP]実際に役に立たないかもしれないからやらなくてもいいかなっていう気持ちはどっかには少しある。[SEP]うんある。,1,True,case2!.csv
思う。続けていきたいって思うけど、少しでも使う気がないからやらなくてもいいのかなとも思っちゃう。[SEP]実際に役に立たないかもしれないからやらなくてもいいかなっていうのはどっかには少しある。[SEP]うんある。,1,True,case2!.csv
思う。続けていきたいって思うけど、自分でも使う時間がないからやらなくてもいいのかなとも思っちゃう。[SEP]実際に役に立たないかもしれないからやらなくてもいいかなっていうことはどっかには少しある。[SEP]うんある。,1,True,case2!.csv
思う。続けていきたいって思うけど、会社でも使う機会がないからやらなくてもいいのかなとも思っちゃう。[SEP]実際に役に立たないかもしれないからやらなくてもいいかなっていう気持ちはどっかには少しある。[SEP]うんある。,1,False,case2!.csv
いや、それが、特に何があったというわけではないんですが、間に合わなくて。[SEP]大丈夫ですよ。たまにはそういう日もありますからね。無理せず、自分のペースで行きましょう。[SEP]そうですね。すみません。,5,True,case7.csv
いや、それが、特に何があったということではあるんですが、間に合わなくて。[SEP]大丈夫ですよ。たまにはそういう日もありますからね。無理せず、私のペースで行きましょう。[SEP]そうですね。すみません。,5,True,case7.csv
いや、それが、特に何があったという意味では無いんですが、間に合わなくて。[SEP]大丈夫ですよ。たまにはそういう日もありますからね。無理せず、僕のペースで行きましょう。[SEP]そうですね。すみません。,5,True,case7.csv
いや、それが、特に何があったというわけでは無いんですが、間に合わなくて。[SEP]大丈夫ですよ。たまにはそういう日もありますからね。無理せず、自分のペースで行きましょう。[SEP]そうですね。すみません。,5,False,case7.csv
"とにかくそれをする時間がない...[SEP]やめられないという言い訳をしないで!非常に大事なことなんですから。[SEP]わかってます。知っているんです。何ひとつ問題のない人なんていないでしよ?本当に,それは本当に難しいことなんです。",0,True,case3.csv
"とにかくそれをする時間がない...[SEP]やめられないという言い訳をしないと!非常に大事な人なんですから。[SEP]わかってます。知っているんです。何ひとつ問題のない人なんていないでしよ?本当に,それは本当に難しい問題なんです。",0,True,case3.csv
"とにかくそれをする時間がない...[SEP]やめられないという言い訳をしないって!非常に大事な仕事なんですから。[SEP]わかってます。知っているんです。何ひとつ問題のない人なんていないでしよ?本当に,それは本当に難しい仕事なんです。",0,True,case3.csv
とにかくそれをする時間がない…[SEP]やめられないという言い訳をしないこと！非常に大事なことなんですから｡[SEP]わかってます。知っているんです。何ひとつ問題のない人なんていないでしよ？本当に，それは本当に難しいことなんです。,0,False,case3.csv
そうですね、実際に、新しい、私だと、精神疾患に関するMIがどうかとか、国内ではまだ無かったりして、新しい情報みたいなのが聞きたいなぁとは思ってるけど、難しかったりとか、まあ教科書も海外だと豊富にあるんですけど、物すごい時間がかかってしまって、いまの技術では。まあそういうところもあるし、まあ勉強だけじゃなくても、子供と旅行とかいったら楽しいだろうなぁって。[SEP]えーとじゃあ、英語を勉強されると、子どもさんと旅行して家族の思い出を作る時にも、っていうのもあるし、あなたのお仕事の専門領域で習った内容を活かすっていう時に役立ちそうなんですね。[SEP]そうですねぇ、そういった目標は持ってますけどねぇ。,2,True,case5!.csv
そうですね、実際に、新しい、私だと、精神疾患に関するMIがどうかとか、国内ではまだ無かったりして、新しい情報みたいなのが聞きたいなぁとは思ってるけど、難しかったりとか、まあ教科書も今だと豊富にあるんですけど、物すごい時間がかかってしまって、いまの技術では。まあそういうところもあるし、まあそれだけじゃなくても、子供と旅行とかいったら楽しいだろうなぁって。[SEP]えーとじゃあ、それを勉強されると、子どもさんと旅行して家族の思い出を作る時にも、っていうのもあるし、あなたのお仕事の専門領域で習った内容を活かすっていう時に役立ちそうなんですね。[SEP]そうですねぇ、そういった目標は持ってますけどねぇ。,2,True,case5!.csv
そうですね、実際に、新しい、私だと、精神疾患に関するMIがどうかとか、国内ではまだ無かったりして、新しい情報みたいなのが聞きたいなぁとは思ってるけど、難しかったりとか、まあ教科書も私だと豊富にあるんですけど、物すごい時間がかかってしまって、いまの技術では。まあそういうところもあるし、まあ教育だけじゃなくても、子供と旅行とかいったら楽しいだろうなぁって。[SEP]えーとじゃあ、これを勉強されると、子どもさんと旅行して家族の思い出を作る時にも、っていうのもあるし、あなたのお仕事の専門領域で習った内容を活かすっていう時に役立ちそうなんですね。[SEP]そうですねぇ、そういった目標は持ってますけどねぇ。,2,True,case5!.csv
