NO,dialogue,MITI_code,target
Co1 ,では，エイデンヘ抗生物質の処方菱を書きました。申し上げにくいのですが，彼のカルテを見て，ここ最近頻繁に耳の感染症を起こしているのが少し気になります。また，家庭内でどなたか喫煙されているという項目にチェックをされていますね。このことについてもう少しお聞かせ願えますか。,3,禁煙
Cl1 ,ええと，それって私と子どもの問題でしよ。私は煙草を吸ってますよ。う－ん，息子のそばでは吸わないように本当に気をつけています。でも妊娠していた時は除いて10年吸い続けています｡シングルマザーでいることはとてもストレスフルでまた，仕事もあります。だから，また吸いはじめてしまいました。,8,
Co2 ,いろいろなことがあって，たばこを吸うことはリラックスする，ストレス解消法の一つになっているのですね。,2,
Cl2 ,そう，そうなんです。人によってはワインでしようし，私にはタバコなんです。,8,
Co3,わかりました。また息子さんのそばでは吸わないようにしているとおっしゃっていましたね。どーしてそう決めているんですか？,3,
Cl3,彼によくないとわかっているからです。耳の感染症や端息に関していろいろなものを読みました…でも耳の感染症を患っている子の中には親が吸ってない人もいるからそれだけじゃないと思って,7,
Co4,そうですか。あなたがタバコをすっていることが彼に影響しているのではと心配する一方で，タバコを吸うことがこのような問題の原因になっているかどうかわからないと思っているのですね。,2,
Cl4,そうです，ええ。彼は端息はないし，彼の友達が抱えているようないろいろな問題もないし。それに，ずっと前，やめようと思ったのですが，今はどうやったらできるのかわかりません，わからないのです。,8,
Co5,妊娠した時はどうしてやめようと思ったのですか？,3,
Cl5,ええと，彼がお腹にいるときは，なんでも分け合っているわけだから，胎児に影響があるかもと分かっていたし，息子に何かがあったら生きていけないと思っていました。,7,
Co6,でも今は何とかやっていけそうもないし，やってみようとすら思えないのですね。,2,
Cl6,ええ，その通りです。,0,
Co7,以前やめたときはどうやってできたのですか？,3,
Cl7,わかりません，今考えてみてもどのようにしたかすら覚えてないんです。でも，とにかくやったんです。私，想像できなかったの。タバコを吸う女性の赤ちゃんが死産になるとか，早産になるとか，また，障害児として生まれてくるなんてことを。だからもう飽き飽きするほど言われたでしよ。ね，もう今は危険な状態じゃないんです。,8,
Co8,その危険な状態はタバコをやめられるくらい恐ろしいことだったと・・・,2,
Cl8,そうです。,7,
Co9,今のあなたにとって恐ろしいものではないんですね,2,
Cl9,そうよ，もう息子はお腹の中にいないんだから。だから吸っていないと言ったのは，彼のそばでは吸わないようにすごく気をつけているからなの。結構できてると思っている。他の人にも彼の傍では吸わせないようにしているし…。,0,
Co10,あなたはできる限りのことをしていると。,2,
Cl10,はい。,7,
Co11,OK，でも本当はどこかでたばこをやめたいと思っているように聞こえます。,2,
Cl11,ええ，そうすべきだと分かっています，毎年新年に“今年は禁煙する”といいますが，何かあるとできない，やめられないんです。何もなければやめられるのに・・・。,8,
Co12,それはあなたの「やるべき仕事」の中で，最優先ではないのね,2,
Cl12,ええ,8,
Co13,では，もし禁煙の決心をするとして，全く自信がない「できないと思う」場合を1，できると確信している場合を10として9から10段階で今のあなたはどの辺りですか？,4,
Cl13,たぶん5くらいだと，迷っているところ。以前やったことがあるからできると思うけれど，同時にすごく難しいとも感じている，同じ状況じゃないし。,0,
Co14,では2や3ではなく，5としたのはどうしてでしょう。,3,
Cl14,私にとっても良くないと分かっているし，彼がタバコをすってもいいと思って成長してほしくない。彼にはそういうことをしてほしくない。噛むタバコとかそういったものをしてほしくない。だから、特に彼がお母さんがタバコを吸っているとわかるくらいの年になる前に，やめるべきなのは分かっている。,7,
Co15,はい。,0,
Cl15,でも私にできるのかわからない。,8,
Co16,OK，やめたい理由がたくさんあるようですね。過去にやめることに成功していますし，今も少しうしろめたさを感じている。,5,
Cl16,ええ。,7,
Co17,ここからどうするべきだと思いますか？,3,
Cl17,わかりません，私…助けがほしい，どういった助けを必要としているかわからない。,0,
Co18,わかりました，もし何か興味があれば，もちろんお話することができます。実際にいろんな方の禁煙を成功させている新たな選択肢もたくさんあります。あなたが試せる薬物療法も…,0,
Cl18,薬は好きではありません。,0,
Co19,OK，他の方と一緒に体験することができるサポートグループや勉強会もあります。時々，ただそのサポートを受けるだけで大きな恩恵を被る。特に喫煙がストレス緩和になるような人にとってはそんな場所が役立つかもしれません。,0,
Cl19,それはよさそうですね，でも全てに参加する時間があるかどうか。,0,
Co20,もちろん，時間もたくさん取られるかもしれませんし，あなたの生活に合わないかもしれません。あなたの生活に合うようないくつかの選択肢について話ができればと思うのですが。,4,
Cl20,とても嬉しいです,0,
Co21,OK，ではもしよければ，あなたが来られるときに一度予約を取り直して，そのことについて話をしましょう。,0,
Cl21,そうしたいと思います，いいですね。,7,
Co22,よかった。,0,
Cl22,ありがとうございました。,0,
Co23,はい。,0,
