NO,dialogue,MITI_code,target
Co1 ,今年度も保健指導にご参加くださりありがとうございます。では早速ですが、健診結果の振返り、食事・運動・その他で主にタバコについて確認させてください。どうでしょうか？,3,禁煙
Cl1 ,5年前に比べると、良くなっている。特に体重が80㎏だったから～。,0,
Co2 ,タバコはどうですか？　,3,
Cl2 ,一時的に業研で禁煙やってたもんだから、一応協力するわ～、っていうけどもぉ～。なんや、なんでこんなイライラするんやろなーって。だからパッチ、パッチがいるかな。でもパッチをやっていたKさんがパッチしながら普通に吸っていて、それはいかんやろーって（笑）。,0,
Co3,パッチは効果なさそう。　,2,
Cl3,パッチはそう、でも飲み薬よりはパッチ！,7,
Co4,パッチやってみようかな？って、飲み薬は、、、　,1,
Cl4,飲み薬は怖いかなって！飲み薬は確か産業医の先生のあれがいるんですよね？,0,
Co5,そうですね。情報としてお伝えさせてもらうと、ニコチンパッチは産業医の先生の指示はいらないですけど、飲み薬に関しては今の仕事では薬を飲んでいる間、業務に就くことができないです。,2,
Cl5,そうすると、やっぱパッチか。（少し間を置いて）一番怖いのは禁煙して太るのが怖いかなっと。,8,
Co6,体重が増えちゃうこと。　,1,
Cl6,やめていた間に、仕出し弁当が、ガッツンときてもうて。メシうめーっていうのがあったから。,0,
Co7,タバコをやめている時にご飯が美味しかった。　,1,
Cl7,そう！やめている間に、そこの仕出し弁当は元々不味かったのに、その弁当でさえ、ご飯が何でもうめって思った。,0,
Co8,美味しさをすごく感じるようになった。　,2,
Cl8,そう。ご飯を普通に200に抑えていたのに、おかわり！！って、言って。,0,
Co9,じゃぁ、食べ過ぎている傾向にあって、それを経験しているがゆえに、やっぱこう、タバコをやめちゃうと体重増えちゃうかなって。　,2,
Cl9,そう。怖いっていう。,8,
Co10,体重が増えちゃうかなって怖さがある。　,1,
Cl10,そう。せっかくズボンも小さく、これも（スーツを指さし）小っちゃくしたのに。うん。,8,
Co11,あ～。スーツのサイズ下げたのに、またタバコやめるとサイズあげなきゃ！みたいな。　,1,
Cl11,それが一番怖いかな！っと。,8,
Co12,それがなければタバコはやめられそう？　,4,
Cl12,うーん。まあね～。あとはご飯。。。でも怖いのはメシがうまいと感じるのが一番怖いかな。今は。,8,
Co13,うまいと感じるのがいや。　,2,
Cl13,それで食べる。元々の昔みたいな食べ方をしてしまうんのかな。。。（過去の体重をみて）この時代に戻っちゃうなっと。,8,
Co14,体重が増えていた時代みたいにガッツリ食べちゃう。　,2,
Cl14,体重が80㎏とか、大分若い時にかなぁ？20代の時の太っていたとき！でも入社の時がちょうど72㎏だったはずで。,0,
Co15,お～ぉ。じゃぁ、ちょうど入社の時の体重になった。　,1,
Cl15,そう。ちょうど入社の時の体重になった。,0,
Co16,この体重がタバコをやめることで維持できないじゃないかという怖さがある。　,2,
Cl16,そう。怖さ。ここからマックス90㎏までいったから。,8,
Co17,そういう経験をしながら、今、体重を減らしてきているから、タバコをやめるのが怖い。　,2,
Cl17,タバコはやめたいけど、体重が増えたりするのが心配。,0,
Co18,そうですね～。今までのお話の中で、味覚が、美味しくて食べ過ぎちゃったというお話もあったと思いますが、やっぱりご飯が美味しくなることこそが、タバコのせいなんです。　,2,
Cl18,そう、それが分かっているもんだから、余計怖いというか、、、スイッチが入った瞬間怖いというか、また食べ過ぎてしまうんやろな～みないな。,8,
Co19,食べ過ぎなければやめられるのに！っと思う。　,1,
Cl19,タバコをやめたら、メシがうまくなったっていう話を聞いて、「これ！」って思って。,8,
Co20,自覚できてうれしい気持ち。　,2,
Cl20,うれしい。そうなんや～。これや～！っという。おいんしんや～！！って思ったけど、飲む・食うしちゃうと、大昔のあの時代に戻るのかな？なんて。,8,
Co21,怖いとうい感覚と、でも反対の我慢できそうという感覚もあるんじゃなかと。　,2,
Cl21,うーん。そうそう、今のご飯の食べ方やったら、いけるんやろな～っと思うけど（笑）。,7,
Co22,まだやってみる勇気はない。　,2,
Cl22,まぁ、やってみて、、、これで1回やってみて、うん、減るなら減るで。,7,
Co23,ご飯がうまくなるだけでも、それでもええかなっと！,0,
Cl23,ようは、いかに自分で自制するっていうことか～。,7,
Co24,ちょっとトライしてみようかなという気持ちがある。　,2,
Cl24,いかにタバコをやめれるか、やめたいなっていう思いもある。美味しいんやったら、美味しい方がいいし。昔に比べたら、食欲も落ちていることは落ちているし。,7,
Co25,もしかすると今はチャンスかも！みたいな。　,2,
Cl25,うまくいけばぁ。昔は吉野家で絶対大盛だったけど、今は並盛でも満足できるし、他の大盛やお代わりがができるお店でも大盛やおかわりは、もうええわ～ってなって食べなくなった。職場に来る野菜中心ヘルシー弁当、ご飯150くらいのやつでも満足できるし～みたいな。,7,
Co26,そうなんですね～。今までのお話を整理すると食事の量もそこそこ減ってきているし、無理のない食べ方も分かってきて、禁煙するなら今がチャンスだと感じていて、ニコチンパッチを活用してなら禁煙できそうかな！ということ。で、折角なので頑張られてみますか？　,4,
Cl26,ですね。まずはあれ（禁煙サポートプログラム）に申込んでパッチをもらうところから始めてみようかなっと。,7,
