NO,dialogue,MITI_code,target
Co1 ,今日はどんな悩みでいらっしゃったんでしょう。,3,カウンセリングの勉強をする
Cl1 ,勉強、カウンセリングの勉強をしようと思うけど、なかなかやる気が出ない。,8,
Co2 ,勉強をもっとしたいという気持ちがある。,1,
Cl2 ,したほうがいいかなと思う。なんか前は同じ会社の人とやってて、こういう講習会も受けてて、会社でも使う機会があったからやった方がいいなという気持ちもあってやってたけど、最近部署も変わって使う機会もないから、勉強する気も起らなくて。同じ会社でやってた先輩とも別れちゃったからやる気が出てない。,8,
Co3,前はやってみた時は、何か役に立った？,3,
Cl3,役に立った時もあるかな,7,
Co4,前は何か役に立ったし、会社の人と勉強するのも楽しかった。,2,
Cl4,そうですね。,7,
Co5,今はちょと環境も変わって、勉強する環境にないけど、その時のことを思い出すともう一度やってみようかなって思う。,2,
Cl5,思う。,7,
Co6,こうやって今日もいらっしゃったんですけど、もっとやりたいというのがあって、これからも、こういう会に参加して続けていきたいと。,2,
Cl6,思う。続けていきたいって思うけど、会社でも使う機会がないからやらなくてもいいのかなとも思っちゃう。,8,
Co7,実際に役に立たないかもしれないからやらなくてもいいかなっていう気持ちはどっかには少しある。,1,
Cl7,うんある。,7,
Co8,やった方がいいかなっていう気持ちが少し大きい。,1,
Cl8,どうだろ、半分半分かな。,0,
Co9,楽しくやれたら、前みたいに、いいのになって思う。,2,
Cl9,やったら楽しいけど、やりに行くまでが。,0,
Co10,やりにいくまでは会社の人がいっしょにいたから、気持ちが向かない時も引っ張ってくれたりとか、一緒に話してる中で行き帰りも楽しく来れる。一方で会社の人と来れなくなったためにあまり、気分的には明るい気持ちで来れなくなっているところも少しある。,2,
Cl10,うん、少しあるかな。,8,
Co11,今後この会を通じていい関係が出来てみんなと楽しく話ができたらもしかしたら楽しく参加できるかもしれない。,2,
Cl11,難しい。わかんない。,0,
Co12,勝手に想像してしまいました。,0,
Cl12,えぇ,0,
Co13,やりたいという気持ちがあると最初におっしゃっていたのですが、やったらどんないいことがあると思いますか,3,
Cl13,出来てるかわからないけど、自分が成長してる気がするし。する。自分のことも知れる。かな。,7,
Co14,自分のことを知りたい。,1,
Cl14,うん、知りたい。,7,
Co15,自分が成長している気持ちで勉強できたらいいなと。,1,
Cl15,うん。,7,
Co16,今の気持ちとして続けられそうだなという気持ちは１０点満点としたら何点ぐらい？,4,
Cl16,3,0,
Co17,１とか２じゃないのはどういうところから、今３になってるんですか？,3,
Cl17,今日もこういうのがあるよと誘ってくれた人がいて、一緒に来てくれた人がいるから一人じゃないから。,0,
Co18,一人じゃなかったら今後３が、５になるかもしれない。,2,
Cl18,わからない。,0,
