NO,dialogue,MITI_code,target
Co1 ,現状についてお話しいただきありがとうございました。そんな中、こちらのカウンセリングを受けて、どんな風になることを望まれていますか？,3,転職に向けた行動を起こす
Cl1 ,そうですね。転職活動へのやる気を高めたいです。,7,
Co2 ,やる気を高めて転職活動を行い、来年度からは新しい職場で働きたいわけですね。,2,
Cl2 ,そうです。さすがに今の職場で来年度も働くイメージは持てません。,7,
Co3,早急に脱出したいという思いが強いわけですね。,2,
Cl3,はい。,7,
Co4,それでもなかなかやる気が出てこないというのは、何度か失敗していたり、今の仕事が忙しかったりということがあるわけですね。,2,
Cl4,そうです。どうせこんな書類書いたって無駄だろうと思ってしまいます。,8,
Co5,ただ、ご自身としては、そうも言っていられない状況だと。,2,
Cl5,そうですね。何とかして、脱出しなくてはいけないと思います。,7,
Co6,来年度から別の職場で働くために出来る限りのことをしたいという思いはあるわけですね。,2,
Cl6,そうですね。現実的に、時間が無いということが大きいかもしれませんね。,8,
Co7,まずは、なんとか時間を確保する必要があると。,2,
Cl7,そうですね。やる気がないわけではないんだと思います。何とかして、転職先を見つけたいです。,7,
Co8,はい,0,
Cl8,ただ、時間的に厳しい中で、なかなかうまくいかず、落ち込んでいました。,8,
Co9,忙しい中で、せっかく書いた書類がなかなか一次審査を通らないと、嫌になってしまうことはありますよね。ただ、実際は、今後も転職活動は続けていきたいということですね。,2,
Cl9,そうですね。一応会社の規定では、3か月前までに退職願を出さなくてはいけないことになっているのですが、当面はそれを目指して、それが難しくても、今後も転職活動を続けていく気ではいます。,7,
Co10,そのために今日できることとしては、今後の見通しについてお伺いしていくことですかね。他に何か、やる気を高めるために出来そうなことはありますか？,4,
Cl10,そうですね。あとは、時間ですかね。どうしても、なかなかうまく時間が使えていない感じがするので、その辺りについてご相談させていただければと思います。,0,
Co11,時間の使い方について相談できると、今後、今のお仕事をしながら少なくとも今以上には、転職活動を効率的に進めることができるだろうということですね。,2,
Cl11,はい。,0,
Co12,そうすると、改めて、今日も面談が終わった後には、どんな風になっていると良さそうですか？,3,
Cl12,そうですね。やる気というよりも、淡々と、計画的に、応募書類を出し続けるということですかね。気分的なことよりも、現職との両立がキーになりそうです。,7,
Co13,やる気というよりも、いかに現在のお仕事と両立させながら、応募を継続していくかが重要だろうということですね。,1,
Cl13,はい,7,
Co14,それが、今と違ってどのようになっていると、良さそうですか？,3,
Cl14,そうですね。今は、応募書類の締め切りに追われている感じなので、もう少し余裕をもって準備をしたいです。,7,
Co15,いいじゃないですか！早めに準備すると気分的にも余裕が持てそうですね。,2,
Cl15,そうなんです。今はいつもぎりぎりで、夜20時までに大きな郵便局まで書類を出しに行くこともあるので、それが無いだけでも、だいぶ効率的になると思います。,0,
Co16,余裕をもって準備をして、早めに、近所の郵便局に出しに行けるといいということですね。,1,
Cl16,はい。あとは…どうしても、日々の業務に追われていると、転職活動を先送りにしがちなので、それを何とかする必要がありますかね。,7,
Co17,日々の業務と転職活動とのバランスをとると。,1,
Cl17,そうですね。例えば、毎日1時間は転職に向けた書類を準備する時間に充てるとか。,7,
Co18,良さそうですね！毎日1時間ぐらい取れれば、ある程度転職に向けた準備を余裕をもって進めて行けそうということですかね。,2,
Cl18,そうですね。平日で1時間取れれば十分だと思います。むしろ、1時間取れるかどうか…,8,
Co19,1時間とるのは難しいかもしれないと。,1,
Cl19,そうですね…毎日30分位が現実的かという思いと、1時間取れれば、だいぶ前進しそうだという思いがあります。,0,
Co20,1時間は、少し、現実的ではないかもしれない。一方で、1時間ぐらい取れた方が、転職活動は進むだろうということですね。,2,
Cl20,そうなんですよね…,0,
Co21,毎日30分か、1時間かというのが、良いところですかね。,2,
Cl21,はい。,7,
Co22,それは、やっぱり、どっちかに決めておいた方がいいだろうということですよね。,2,
Cl22,そうですね。結局、どっちでもということだと、30分とか、場合によっては、やらなくてもいいかということになりがちだと思います。1時間なら1時間と決めた方が、その時間を確保するために、準備できると思います。また、30分と決めれば、それくらいは絶対確保しようとおもえるだろうし。,0,
Co23,30分にするにしろ、1時間にするにしろ、それをしっかり決めることが、今後転職活動をスムーズに進めて行くためには重要ということですね。,2,
Cl23,そうですね。とりあえずは、1時間やるということで、しばらくやってみようと思います。,7,
Co24,30分よりは1時間に決めた方が良さそうな感じだったんですね。,2,
Cl24,はい。せっかくなので、大胆に時間を取ってみようと思います。本当に、来年度も今の職場で働き続けるというのは、自分にとって良いことではないと思うので。,7,
Co25,そうですね。将来を見据えて、1つ1つの事を、しっかり考えて、計画的に進める力をお持ちなんですね。,5,
Cl25,実際どうなるかはわからないですけどね。計画的に進められるといいとは思います。,7,
Co26,1日1時間、転職活動のための時間に使うということの重要度について点数を付けてもらいたいのですが、とても重要だというのを10点として、あまり重要でないというのを0点とすると、Aさんにとっては、何点くらいになりそうですか？,4,
Cl26,重要度でいうと、8とか9とか。10までいかないにしても、かなり高いと思います。,7,
Co27,そうですか。1日1時間転職活動のために時間を使うのは、今のAさんにとって、とても重要だということですね。,1,
Cl27,はい。,7,
Co28,それはやはり、来年度は別の職場で働きたいというのが大きな理由ですよね。,2,
Cl28,はい。,7,
Co29,他にも何かありそうですか？,3,
Cl29,そうですね。やっぱり、自分のために時間は使うべきだという思いがあります。今の仕事は、それが嫌いなわけではないですが、自分が今やるべきことはそれではないと思います。自分の人生やキャリアの優先順位を上げるべきだと思います。,7,
Co30,仕事は仕事で大事だけれど、今自分のために何が必要かということを考えると、それは、転職に向けた活動を優先することだということですね。,1,
Cl30,はい。,7,
