NO,dialogue,MITI_code,target
Co1 ,じゃあ３分くらいで。どんなテーマで？,3,英語の勉強
Cl1 ,んー、英語の勉強をしたいんだけど。,7,
Co2 ,英語の勉強をしたい。,1,
Cl2 ,やっぱりなんか必要かなぁって思うんで。で、やっぱ実際忙しいから、挫折の繰り返しみたいな。,0,
Co3,じゃあ、何回かチャレンジされて、挫折して、でもやっぱり気になるというか。,2,
Cl3,まあ何回か、そうね、次回の、教科書読むとか、来年の海外の学会に出たいなぁとか、実際、参加者の先生の話を聞くと、すごいよかったなぁって話が出てきたりするから。うん、そんときはガーッとあがってくるんだけど,7,
Co4,うん,0,
Cl4,実際違う仕事が入ってくると、また、そうしようかなぁみたいな。,8,
Co5,じゃあ、仕事の忙しさとかと、英語についてもう少し勉強したら、海外の情報を得たり学会に出たり、なにか広がりそうだなぁっていうところで、なんか悩まれてるっていうところ。,2,
Cl5,んー、そうね、悩んでる…まぁちょっとやって、オンライン英会話とかトライして。ただ忙しい時は難しい、そんなところを繰り返してる状況ですかね。,0,
Co6,もし、英語の勉強をされて、少し英語のワークショップとか資料を読めたりすると、どんないいことがありますか？,3,
Cl6,そうですね、実際に、新しい、私だと、精神疾患に関するＭＩがどうかとか、国内ではまだ無かったりして、新しい情報みたいなのが聞きたいなぁとは思ってるけど、難しかったりとか、まあ教科書も英語だと豊富にあるんですけど、物すごい時間がかかってしまって、いまの技術では。まあそういうところもあるし、まあ勉強だけじゃなくても、子供と旅行とかいったら楽しいだろうなぁって。,7,
Co7,えーとじゃあ、英語を勉強されると、子どもさんと旅行して家族の思い出を作る時にも、っていうのもあるし、あなたのお仕事の専門領域で習った内容を活かすっていう時に役立ちそうなんですね。,2,
Cl7,そうですねぇ、そういった目標は持ってますけどねぇ。,0,
Co8,あんまり精神疾患の治療へのカウンセリングの応用とか、日本の文献で無いですもんね。,0,
Cl8,そうですね、あの、ないですね。なんか今年の学会ではあったりとか、そういう情報だけはあったので、勉強したいなってところはあるんですけど。,7,
