NO,dialogue,MITI_code,target
Co1 ,お薬について少しお尋ねしてもよろしいですか？,4,服薬コンプライアンス
Cl1 ,あ、はい。,0,
Co2 ,お薬は指示通り飲めていますか？,4,
Cl2 ,あ、まぁ…,7,
Co3 ,飲めないめないこともありますかね?,2,
Cl3 ,まぁ、そうですね。,8,
Co4 ,あるんですね。別に責めるつもりはないんですよ。きちんと飲めた方が良いのかと思いまして。,0,
Cl4 ,そうですね。,7,
Co5 ,薬を飛ばしてしまうことがあっても困ることはないんですね。,2,
Cl5 ,実は、あんまり効果を感じてないんですよね。,8,
Co6 ,そうなんですね。朝晩きちんと飲んでも、飛ばしてしまってもあまり変わらない。,2,
Cl6 ,はい。,8,
Co7 ,なんだかもったいないですね。せっかく飲んでるのに…,2,
Cl7 ,はぁ…,0,
Co8 ,そんなに気にならないですか?,2,
Cl8 ,いやぁ…,0,
Co9 ,せっかくなら、ちゃんと効いてくれた方が良いのかと思って…,2,
Cl9 ,そうですね。お金も払ってるんで。,7,
Co10 ,薬が効かなくても、症状としてはそれほど気にならないんですね。,2,
Cl10 ,そういうわけじゃにんですけど、あきらめてますよね。悪くならないだけいいかって。,8,
Co11 ,確かにそうですね。悪くなっていないのは良いことですね。もっと効く方法があったら、なお良いという感じですかね。,2,
Cl11 ,そりゃそうですね。,0,
Co12 ,ですよね。医師はそのことについて何と言っているんですか？,3,
Cl12 ,何と言っているわけでもないですけど、薬が変わることもあれば、もう少し様子を見ようとなることもありますね。,0,
Co13 ,そうですか。きちんと医師とお話はできてるんですね。最善は尽くしているという感じですね。,2,
Cl13 ,そうですね。,0,
Co14 ,もしかしたら、きちんと飲んでみると、効果も変わってくるんじゃないかと思うんですね。こちらで、定期的に薬が飲めるようにサポートすることもできますが、今日は、あと10分ぐらいお時間どうですか？,4,
Cl14 ,今日はちょっと難しいです。,8,
Co15 ,そうですか。それでは、またお時間あるときにお立ち寄りください。,0,
Cl15 ,はい。ぜひ。,7,
